Model,Reference,Precision,Recall,F1
gemma2-27b-it-hf_0-shot,TruthfulQA_en_best.txt,0.791861,0.877400,0.832027
gemma2-27b-it-hf_0-shot,TruthfulQA_en_correct.txt,0.806101,0.867838,0.835580
gemma2-27b-it-hf_0-shot,TruthfulQA_en_incorrect.txt,0.802681,0.860771,0.830456
gemma2-27b-it-hf_5-shot,TruthfulQA_en_best.txt,0.807582,0.881472,0.842417
gemma2-27b-it-hf_5-shot,TruthfulQA_en_correct.txt,0.819918,0.868396,0.843072
gemma2-27b-it-hf_5-shot,TruthfulQA_en_incorrect.txt,0.814903,0.859225,0.836084
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_en_best.txt,0.859441,0.895129,0.876494
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_en_correct.txt,0.870896,0.873803,0.872018
gpt-3.5-turbo-instruct_0-shot,TruthfulQA_en_incorrect.txt,0.870551,0.874488,0.872181
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_en_best.txt,0.890492,0.916070,0.902705
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_en_correct.txt,0.893130,0.878739,0.885509
gpt-3.5-turbo-instruct_5-shot,TruthfulQA_en_incorrect.txt,0.882363,0.868477,0.874966
gpt-4-0125_0-shot,TruthfulQA_en_best.txt,0.820055,0.886630,0.851570
gpt-4-0125_0-shot,TruthfulQA_en_correct.txt,0.833308,0.871981,0.851856
gpt-4-0125_0-shot,TruthfulQA_en_incorrect.txt,0.829301,0.866602,0.847214
gpt-4-0125_5-shot,TruthfulQA_en_best.txt,0.901666,0.926625,0.913560
gpt-4-0125_5-shot,TruthfulQA_en_correct.txt,0.897778,0.880325,0.888490
gpt-4-0125_5-shot,TruthfulQA_en_incorrect.txt,0.873819,0.861644,0.867248
gpt-4o_0-shot,TruthfulQA_en_best.txt,0.820869,0.888197,0.852825
gpt-4o_0-shot,TruthfulQA_en_correct.txt,0.834931,0.874093,0.853820
gpt-4o_0-shot,TruthfulQA_en_incorrect.txt,0.830702,0.867914,0.848678
gpt-4o_5-shot,TruthfulQA_en_best.txt,0.895370,0.924833,0.909405
gpt-4o_5-shot,TruthfulQA_en_correct.txt,0.893327,0.880231,0.886216
gpt-4o_5-shot,TruthfulQA_en_incorrect.txt,0.869785,0.861731,0.865263
internlm2-20b-hf_0-shot,TruthfulQA_en_best.txt,0.871236,0.897900,0.883776
internlm2-20b-hf_0-shot,TruthfulQA_en_correct.txt,0.879438,0.871676,0.875031
internlm2-20b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.881358,0.873577,0.876933
internlm2-20b-hf_5-shot,TruthfulQA_en_best.txt,0.842415,0.894861,0.865975
internlm2-20b-hf_5-shot,TruthfulQA_en_correct.txt,0.850422,0.860549,0.853880
internlm2-20b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.843667,0.855242,0.848026
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_en_best.txt,0.787142,0.872560,0.827250
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_en_correct.txt,0.800351,0.860691,0.829178
internlm2_5-7b-chat-hf_0-shot,TruthfulQA_en_incorrect.txt,0.800239,0.859676,0.828678
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_en_best.txt,0.808714,0.883586,0.844025
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_en_correct.txt,0.821501,0.868342,0.843936
internlm2_5-7b-chat-hf_5-shot,TruthfulQA_en_incorrect.txt,0.819565,0.863908,0.840844
internlm2_5-7b-hf_0-shot,TruthfulQA_en_best.txt,0.843634,0.886569,0.864042
internlm2_5-7b-hf_0-shot,TruthfulQA_en_correct.txt,0.853782,0.868559,0.860638
internlm2_5-7b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.854697,0.869825,0.861741
internlm2_5-7b-hf_5-shot,TruthfulQA_en_best.txt,0.865501,0.904840,0.884262
internlm2_5-7b-hf_5-shot,TruthfulQA_en_correct.txt,0.871489,0.875564,0.873083
internlm2_5-7b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.861167,0.867373,0.863882
internlm2-7b-hf_0-shot,TruthfulQA_en_best.txt,0.876770,0.892703,0.884093
internlm2-7b-hf_0-shot,TruthfulQA_en_correct.txt,0.880714,0.862926,0.871281
internlm2-7b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.886705,0.864061,0.874698
internlm2-7b-hf_5-shot,TruthfulQA_en_best.txt,0.664198,0.678864,0.670998
internlm2-7b-hf_5-shot,TruthfulQA_en_correct.txt,0.663819,0.647471,0.655078
internlm2-7b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.652529,0.639064,0.645322
internlm2-chat-20b-hf_0-shot,TruthfulQA_en_best.txt,0.772098,0.869710,0.817621
internlm2-chat-20b-hf_0-shot,TruthfulQA_en_correct.txt,0.786042,0.859791,0.821063
internlm2-chat-20b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.785561,0.856797,0.819449
internlm2-chat-20b-hf_5-shot,TruthfulQA_en_best.txt,0.849065,0.902348,0.873763
internlm2-chat-20b-hf_5-shot,TruthfulQA_en_correct.txt,0.851020,0.867247,0.857953
internlm2-chat-20b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.840712,0.856991,0.847816
internlm2-chat-7b-hf_0-shot,TruthfulQA_en_best.txt,0.792642,0.876750,0.832144
internlm2-chat-7b-hf_0-shot,TruthfulQA_en_correct.txt,0.806921,0.863981,0.834212
internlm2-chat-7b-hf_0-shot,TruthfulQA_en_incorrect.txt,0.806728,0.863546,0.833938
internlm2-chat-7b-hf_5-shot,TruthfulQA_en_best.txt,0.839134,0.903684,0.869559
internlm2-chat-7b-hf_5-shot,TruthfulQA_en_correct.txt,0.850229,0.877372,0.862917
internlm2-chat-7b-hf_5-shot,TruthfulQA_en_incorrect.txt,0.840459,0.866703,0.852793
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_en_best.txt,0.804837,0.879958,0.840080
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_en_correct.txt,0.818851,0.867028,0.841750
llama-3_1-70b-instruct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.817576,0.863532,0.839450
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_en_best.txt,0.905286,0.927744,0.915983
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_en_correct.txt,0.899942,0.878851,0.888771
llama-3_1-70b-instruct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.874145,0.859662,0.866403
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_en_best.txt,0.793739,0.875281,0.831875
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_en_correct.txt,0.808424,0.863451,0.834566
llama-3_1-8b-instruct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.808199,0.861661,0.833641
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_en_best.txt,0.894902,0.917642,0.905550
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_en_correct.txt,0.894561,0.876391,0.884702
llama-3_1-8b-instruct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.874691,0.860573,0.866998
llama-3-70b-instruct-hf_0-shot,TruthfulQA_en_best.txt,0.796802,0.876153,0.834188
llama-3-70b-instruct-hf_0-shot,TruthfulQA_en_correct.txt,0.811466,0.867758,0.838417
llama-3-70b-instruct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.809445,0.863706,0.835476
llama-3-70b-instruct-hf_5-shot,TruthfulQA_en_best.txt,0.899273,0.921577,0.909884
llama-3-70b-instruct-hf_5-shot,TruthfulQA_en_correct.txt,0.899287,0.880759,0.889443
llama-3-70b-instruct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.875906,0.861004,0.867957
llama-3-8b-instruct-hf_0-shot,TruthfulQA_en_best.txt,0.805323,0.875802,0.838560
llama-3-8b-instruct-hf_0-shot,TruthfulQA_en_correct.txt,0.819205,0.864873,0.841061
llama-3-8b-instruct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.818542,0.863771,0.840217
llama-3-8b-instruct-hf_5-shot,TruthfulQA_en_best.txt,0.906957,0.913406,0.909745
llama-3-8b-instruct-hf_5-shot,TruthfulQA_en_correct.txt,0.902479,0.868955,0.884997
llama-3-8b-instruct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.882032,0.852832,0.866795
mistral-large-2-insturct-hf_0-shot,TruthfulQA_en_best.txt,0.825715,0.891226,0.856788
mistral-large-2-insturct-hf_0-shot,TruthfulQA_en_correct.txt,0.839680,0.875489,0.856900
mistral-large-2-insturct-hf_0-shot,TruthfulQA_en_incorrect.txt,0.835820,0.869664,0.852114
mistral-large-2-insturct-hf_5-shot,TruthfulQA_en_best.txt,0.880161,0.921258,0.899744
mistral-large-2-insturct-hf_5-shot,TruthfulQA_en_correct.txt,0.883576,0.883463,0.882982
mistral-large-2-insturct-hf_5-shot,TruthfulQA_en_incorrect.txt,0.864934,0.866077,0.865019
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_en_best.txt,0.825953,0.890840,0.856838
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_en_correct.txt,0.840441,0.876325,0.857798
mixtral-8x22b-instruct-v0.1-hf_0-shot,TruthfulQA_en_incorrect.txt,0.835479,0.869274,0.851853
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_en_best.txt,0.855537,0.911753,0.882420
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_en_correct.txt,0.867164,0.885240,0.875782
mixtral-8x22b-instruct-v0.1-hf_5-shot,TruthfulQA_en_incorrect.txt,0.853879,0.869843,0.861494
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_en_best.txt,0.841936,0.894548,0.867035
phi-3-medium-128k-instruct-hf_0-shot,TruthfulQA_en_correct.txt,0.854973,0.875511,0.864835
