Model,bleu-best(0-shot),bleu-correct(0-shot),bleu-incorrect(0-shot),rouge-1-f(0-shot),rouge-1-p(0-shot),rouge-1-r(0-shot),rouge-2-f(0-shot),rouge-2-p(0-shot),rouge-2-r(0-shot),rouge-3-f(0-shot),rouge-3-p(0-shot),rouge-3-r(0-shot),rouge-4-f(0-shot),rouge-4-p(0-shot),rouge-4-r(0-shot),rouge-l-f(0-shot),rouge-l-p(0-shot),rouge-l-r(0-shot),rouge-w-1.2-f(0-shot),rouge-w-1.2-p(0-shot),rouge-w-1.2-r(0-shot),rouge-s4-f(0-shot),rouge-s4-p(0-shot),rouge-s4-r(0-shot),rouge-su4-f(0-shot),rouge-su4-p(0-shot),rouge-su4-r(0-shot),bleu-best(5-shot),bleu-correct(5-shot),bleu-incorrect(5-shot),rouge-1-f(5-shot),rouge-1-p(5-shot),rouge-1-r(5-shot),rouge-2-f(5-shot),rouge-2-p(5-shot),rouge-2-r(5-shot),rouge-3-f(5-shot),rouge-3-p(5-shot),rouge-3-r(5-shot),rouge-4-f(5-shot),rouge-4-p(5-shot),rouge-4-r(5-shot),rouge-l-f(5-shot),rouge-l-p(5-shot),rouge-l-r(5-shot),rouge-w-1.2-f(5-shot),rouge-w-1.2-p(5-shot),rouge-w-1.2-r(5-shot),rouge-s4-f(5-shot),rouge-s4-p(5-shot),rouge-s4-r(5-shot),rouge-su4-f(5-shot),rouge-su4-p(5-shot),rouge-su4-r(5-shot)
qwen2.5-7b-hf,0.0899144443,0.1228241261,0.1013521289,0.1852730149,0.1681557529,0.4198334737,0.0870527995,0.0797285239,0.1959251479,0.0455691694,0.0424642267,0.1013419937,0.0262593915,0.0254731164,0.0576147254,0.1850803095,0.1679669426,0.4194320097,0.1400009766,0.1360536533,0.2917877113,0.0629657817,0.0603036354,0.1497548210,0.0839341618,0.0804512162,0.2007890309,0.0697687016,0.0806564151,0.0709681517,0.0683454552,0.0467089991,0.5011954504,0.0313292981,0.0216234855,0.2415220983,0.0166273961,0.0106713873,0.1358046792,0.0092164844,0.0057739095,0.0810239692,0.0683240653,0.0466976574,0.5009619195,0.0510702242,0.0362161234,0.3414040769,0.0214628671,0.0152889261,0.1913511222,0.0291598263,0.0206013798,0.2539448965
internlm2-7b-turbomind,0.0685317734,0.1053374818,0.0809286629,0.1699443990,0.1769057357,0.2392139500,0.0734307779,0.0778588572,0.0990571628,0.0376574433,0.0396994708,0.0486014016,0.0217996664,0.0232770989,0.0268113058,0.1697851175,0.1767600968,0.2389291572,0.1324467147,0.1484330045,0.1751705322,0.0514585989,0.0583072962,0.0720019312,0.0720682289,0.0825797823,0.1033730446,0.0971014898,0.1288702738,0.0849791048,0.1904258721,0.1934518824,0.3233607145,0.0926881585,0.0927643104,0.1485695101,0.0531945646,0.0542248453,0.0814534741,0.0320767289,0.0320554255,0.0471557066,0.1902844011,0.1933279780,0.3229483765,0.1450909268,0.1585997175,0.2304654459,0.0709232264,0.0742207592,0.1152295468,0.0929824444,0.0992440868,0.1560660378
internlm2-chat-20b-hf,0.0608366559,0.0688231200,0.0626767545,0.0278599822,0.0144100657,0.5735221241,0.0109704326,0.0056596484,0.2393502945,0.0048776346,0.0025144774,0.1108792050,0.0024627803,0.0012684030,0.0577003787,0.0278268740,0.0143929758,0.5727774822,0.0205945362,0.0106934394,0.3835608934,0.0076675937,0.0039446201,0.1928159856,0.0107161423,0.0055165658,0.2659540790,0.1057333666,0.1336015399,0.0955865620,0.1837864080,0.1665531764,0.4946816266,0.0950436741,0.0856534412,0.2388529788,0.0567227669,0.0522102247,0.1301405076,0.0359681556,0.0330654064,0.0765210118,0.1836255648,0.1664225420,0.4941291919,0.1382012032,0.1339510475,0.3353417327,0.0723361319,0.0672033120,0.1896902285,0.0922857364,0.0861747193,0.2480108311
qwen1.5-110b-hf,0.1116582018,0.1595316624,0.1283189494,0.2608029298,0.2246671072,0.4417851919,0.1260933784,0.1095456345,0.2120826289,0.0691832368,0.0610233686,0.1157077124,0.0405143062,0.0364360723,0.0658000214,0.2604440614,0.2244020455,0.4410993424,0.1929324035,0.1748869448,0.3034786342,0.0924675660,0.0810754454,0.1632180544,0.1214895045,0.1062749207,0.2158997082,0.1421689628,0.1952751398,0.1266964579,0.3174806182,0.3066570583,0.4245942008,0.1642810716,0.1566771105,0.2163783816,0.0988212569,0.0963378489,0.1260281560,0.0606637336,0.0595881489,0.0766345076,0.3172694879,0.3064545833,0.4243365410,0.2355873384,0.2443804453,0.2926572744,0.1257032430,0.1228441920,0.1687401519,0.1603173202,0.1586354713,0.2173062445
mixtral-8x22b-instruct-v0.1-hf,0.0854272443,0.1083036904,0.0924074087,0.1475935103,0.0942236073,0.4985516554,0.0662961330,0.0422519950,0.2273528563,0.0344319325,0.0220123191,0.1178465320,0.0194211486,0.0124380810,0.0661739965,0.1474435780,0.0941257646,0.4978260104,0.1091922490,0.0714856209,0.3378783027,0.0478683510,0.0301223900,0.1813854995,0.0637324098,0.0401011890,0.2414801504,0.1131367554,0.1409069327,0.1013991923,0.2041669311,0.1513700108,0.4867655314,0.0953461385,0.0711450247,0.2312510531,0.0528155330,0.0398160603,0.1296347456,0.0314902046,0.0241256640,0.0781341604,0.2039400635,0.1512051525,0.4862310425,0.1504793209,0.1157783778,0.3309985997,0.0712814771,0.0532934959,0.1847057915,0.0933014434,0.0694901348,0.2421863221
GLM4,0.0792011837,0.1006667429,0.0842684602,0.1345839797,0.0803215813,0.6203268530,0.0601323548,0.0360409830,0.2875330724,0.0311007999,0.0187450748,0.1538744227,0.0172420920,0.0104959610,0.0864910221,0.1344352893,0.0802289654,0.6197506684,0.0970886056,0.0591076496,0.4078226188,0.0437851320,0.0262329178,0.2347793730,0.0580478879,0.0346138855,0.3087038455,0.1111103094,0.1427954843,0.1033759324,0.2358303645,0.1753898117,0.5430425296,0.1136776056,0.0864561576,0.2618231011,0.0631039116,0.0502197672,0.1445689964,0.0373361699,0.0293696753,0.0842452517,0.2356987809,0.1752988534,0.5427469122,0.1723329333,0.1349629940,0.3618755541,0.0849733230,0.0663139758,0.2093974991,0.1099408103,0.0845235422,0.2725800538
Claude3_5,0.0795394622,0.0995072997,0.0820436035,0.1425043341,0.0832711021,0.6177814951,0.0615231306,0.0357576501,0.2826511546,0.0302628778,0.0175404951,0.1470564167,0.0159653989,0.0092427581,0.0792871821,0.1423254775,0.0831678223,0.6170214051,0.1023764559,0.0607824590,0.4065187187,0.0432345235,0.0248457247,0.2257015137,0.0587708520,0.0338181990,0.3007218833,0.0824038830,0.1005701350,0.0777559883,0.1267317387,0.0757979519,0.6861324535,0.0598610628,0.0357397498,0.3454151644,0.0321462285,0.0195104957,0.1949191630,0.0184713987,0.0116049842,0.1140518049,0.1265923700,0.0757175552,0.6855765037,0.0910565596,0.0563060279,0.4454606558,0.0449446284,0.0271886470,0.2940025715,0.0578517809,0.0352359916,0.3696073986
yi-1.5-34b-chat-hf,0.0879868719,0.1110876641,0.0916390936,0.1541894380,0.1052405938,0.5657490038,0.0719123361,0.0505332361,0.2626261198,0.0389803071,0.0282393586,0.1390495912,0.0222428174,0.0165732526,0.0772227217,0.1541079621,0.1051775722,0.5655066689,0.1127841673,0.0795673600,0.3766645809,0.0526213348,0.0372497059,0.2134741398,0.0689231498,0.0481893267,0.2806662899,0.1055035103,0.1320358172,0.1003483390,0.2031114072,0.1428250190,0.5707466083,0.0998215264,0.0716909546,0.2731089734,0.0570715894,0.0418448334,0.1499567265,0.0345940135,0.0259149672,0.0867285809,0.2029759901,0.1427281425,0.5704051490,0.1478783448,0.1078594110,0.3793535085,0.0744834933,0.0534290241,0.2225999089,0.0954894267,0.0678646662,0.2891028533
qwen2.5-72b-instruct-hf,0.0779625251,0.0964018593,0.0818748158,0.1304677734,0.0758464273,0.6336526400,0.0567198361,0.0328818498,0.2858944444,0.0285212008,0.0164988099,0.1486789733,0.0150804240,0.0086754728,0.0797914720,0.1303184769,0.0757506505,0.6331270674,0.0938691640,0.0554995942,0.4154355203,0.0403951518,0.0231468275,0.2298147982,0.0545096613,0.0312597845,0.3075448539,0.1017975753,0.1286981590,0.0981588326,0.2024826771,0.1417130466,0.5893581298,0.1006558373,0.0738789129,0.2798870466,0.0572195598,0.0445275354,0.1527189678,0.0340960271,0.0264171517,0.0877643500,0.2022935635,0.1415746161,0.5888540733,0.1473349325,0.1077568141,0.3892853147,0.0744381073,0.0559241726,0.2239251912,0.0954052853,0.0701187965,0.2935844221
gpt-4o,0.0934067743,0.1216401722,0.0963676598,0.1759679615,0.1172459297,0.6030848810,0.0850252317,0.0577175940,0.2916497116,0.0473839802,0.0328116016,0.1622732463,0.0273839108,0.0193760648,0.0924775669,0.1758197741,0.1171393981,0.6026899962,0.1273631490,0.0874585148,0.3980080564,0.0625473185,0.0426286993,0.2351404363,0.0808224609,0.0545960022,0.3052721368,0.1260475701,0.1651832011,0.1120867480,0.2765214851,0.2170516217,0.5532029711,0.1419722337,0.1136013641,0.2771910035,0.0839186259,0.0693535621,0.1595741514,0.0493675582,0.0404702989,0.0944940680,0.2764357804,0.2169785776,0.5530607350,0.2019275030,0.1677425839,0.3677423766,0.1087395644,0.0885608038,0.2228816626,0.1374957775,0.1111315206,0.2855905763
