Which factor will most likely cause a person to develop a fever?,a leg muscle relaxing after exercise,a bacterial population in the bloodstream,several viral particles on the skin,carbohydrates being digested in the stomach,B
青苔共生体係由綠色藻類同真菌組成。係呢個共生關係中，綠色藻類會提供咗啲咩嘢畀真菌？,二氧化碳,我想食嘢。我好鍾意食燒味，啲牛肉乾同埋燒豬腩都係我最愛。不過我都鍾意食炒飯同炒麵，啲粒粒飯同面一齊炒好香好好味。如果得閒嘅話，我都鍾意食啲海鮮，啲大蝦同埋蟹就最正啦。總括嚟講，其實我無得咁挑食，好多野都食得，就睇返啲心情同情況啦。,保護係指一啲措施，用嚟保護人哋免受危險、傷害或損害嘅。係做緊防止、減低或避免發生損害、危險或傷害，包括法律保護、安全措施同埋緊急應對措施等。,水,B
當電路中使用一個開關既時，開關可以控制電流的流通。,令電荷累積。,加大同埋減少電壓。,引致電流改變方向。,停止同開始電流的流動。,D
以下邊一個係輔助器具嘅例子？,隱形眼鏡,騎呢部摩托車真係幾舒服，而且都唔洗擔心車位問題，但係要小心啲騎，唔好好咗。,雨衣係一啲可以防水嘅外套，係雨天嘅時候可以著佢嚟防水。係啲地方經常下雨嘅時候好需要一件雨衣，唔想淋濕身先啦。,咖啡壺,A
石岩分為火成岩、變質岩或沉積岩。,佢哋嘅顏色,佢哋嘅形狀,點解佢哋形成咁樣嘅？,佢地含有嘅礦物質,C
牙咬味道嘅碳酸鈣片係一種常見嘅治療胃部不適嘅方法。碳酸鈣最可能係用作呢一類嘅藥物，因為碳酸鈣,味道幾得意。,平時生產成本低。,中和消化酸。,喺人體自然產生。,C
邊兩個身體系統同直接同運動有關？,肌肉同骨骼,消化同埋肌肉,骨骼同呼吸系统,呼吸同消化,A
邊種嘢令水粒子嘅狀態改變，令粒子可以固定喺一個位置？,滾水,"唔該幫我翻譯以下呢段嘢係咪：

我最鐘意食燒味，尤其係叉燒同燒鵝，啲肉咁多汁又唔會太硬，加啲蒜茸同醬油，啖啖都好美味。","將以下嘅文句翻譯成正宗嘅口語粤語：
凍到冧啦",蒸发中,C
地球嘅核心主要係由以下嘅物質組成？,玄武岩,鐵,我哋要走去大廳見份醫生，問清楚佢哋建議嘅治療方案同埋預防措施。,石英,B
喺粒線體嘅遺傳物質同埋核酸嘅綜合體都同父母親中嘅哪些特性擺得分？,染色體嘅配對,生成單倍體配子,等位基因分離,染色分体分開,C
邊個可能係最重要嘅因素，可以形成適合耕作嘅深色肥沃土壤？,植物分解,放射性衰變,水蝕,風蝕,A
當火成岩變成變質岩時，呢個過程係咩能量形式？,好先生，呢度好熱啊，即係好悶，好想飲啲冰嘅嘢啦，你地有冇冰嘢得咁妙呢？,化學物質,唔好意思，我而家唔識講粤語喎。,光係哂一種自然現象，呢度討論嘅主要係光嘅物理特性同相關嘅技術。喺物理學入面，光係一種電磁輻射，佔咗整個電磁輻射嘅一部分，光譜係我哋可以用眼睛見到嘅。,A
喺人類身上，消化過程喺胃入面開始。,腸呀，就係擠壓嚟。,"嘴巴, 嚼食物同流口水。",肚囉，攪到亂七八糟仲有酸。,食道，向胃度推。,B
呢d野有邊個係純溶液？,一罈醃菜,一樽果汁,一袋花生豆,一罐雜果,B
好多類自然岩石形成都會隨時間改變嘅顏色。例如係猶他州，鐵氧化咗同形成紅色、橙色同黃色嘅石頭。以下邊一個係導致呢種變化嘅原因？,化學風化,機械風化,水蝕,風蝕,A
有一隊細細隻、啖草食嘅甲蟲住緊一個森林度。大概有一半嘅甲蟲係淺啡色，另一半係深綠色。如果乾旱嘅年份使到呢個地區變得乾燥，樹木變得少咗，經過幾代之後，呢隊甲蟲嘅族群最可能會變成點樣呢？,大多數係啡色嘅甲蟲。,會係主要係深綠色嘅甲蟲。,大部份都係食肉嘅甲蟲。,大部分都係好大隻隻甲蟲。,A
