Model,Translation Type,Shot Type,BLEU,rouge-1-f,rouge-1-p,rouge-1-r,rouge-2-f,rouge-2-p,rouge-2-r,rouge-3-f,rouge-3-p,rouge-3-r,rouge-4-f,rouge-4-p,rouge-4-r,rouge-l-f,rouge-l-p,rouge-l-r,rouge-w-1.2-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-s4-f,rouge-s4-p,rouge-s4-r,rouge-su4-f,rouge-su4-p,rouge-su4-r
qwen1.5-110b-hf,en-yue,0-shot,0.0109,0.0277,0.0319,0.0268,0.0146,0.0153,0.0146,0.0092,0.0097,0.0092,0.0059,0.0062,0.0058,0.0275,0.0315,0.0267,0.0135,0.0167,0.0126,0.0135,0.0141,0.0134,0.0159,0.0171,0.0156
qwen1.5-110b-hf,en-yue,5-shot,0.4005,0.7443,0.7459,0.7470,0.5028,0.5040,0.5044,0.3599,0.3610,0.3608,0.2633,0.2643,0.2637,0.7439,0.7455,0.7466,0.3353,0.3511,0.3228,0.4818,0.4829,0.4834,0.5258,0.5269,0.5276
qwen1.5-110b-hf,zh-yue,0-shot,0.2288,0.2931,0.3004,0.3721,0.2406,0.2296,0.2877,0.2081,0.1960,0.2444,0.1823,0.1715,0.2132,0.2930,0.3003,0.3718,0.1584,0.1783,0.1938,0.2347,0.2232,0.2795,0.2445,0.2347,0.2952
qwen1.5-110b-hf,zh-yue,5-shot,0.7960,0.8979,0.8873,0.9202,0.8229,0.8131,0.8432,0.7588,0.7497,0.7777,0.7010,0.6926,0.7184,0.8979,0.8872,0.9202,0.4746,0.4924,0.4637,0.8148,0.8049,0.8352,0.8290,0.8189,0.8497
mixtral-8x22b-instruct-v0.1-hf,en-yue,0-shot,0.1842,0.5155,0.4953,0.5662,0.2495,0.2400,0.2736,0.1325,0.1273,0.1455,0.0718,0.0689,0.0788,0.5152,0.4951,0.5659,0.2412,0.2414,0.2537,0.2394,0.2302,0.2624,0.2855,0.2744,0.3132
mixtral-8x22b-instruct-v0.1-hf,en-yue,5-shot,0.3115,0.6874,0.6881,0.6925,0.4226,0.4231,0.4254,0.2781,0.2784,0.2800,0.1870,0.1872,0.1882,0.6873,0.6880,0.6923,0.3127,0.3270,0.3021,0.4029,0.4033,0.4057,0.4506,0.4510,0.4537
mixtral-8x22b-instruct-v0.1-hf,zh-yue,0-shot,0.3204,0.4671,0.3578,0.8063,0.3562,0.2712,0.6238,0.2808,0.2124,0.4997,0.2243,0.1685,0.4051,0.4670,0.3577,0.8060,0.2529,0.1996,0.4112,0.3397,0.2572,0.6042,0.3609,0.2737,0.6389
mixtral-8x22b-instruct-v0.1-hf,zh-yue,5-shot,0.5159,0.6576,0.5983,0.8607,0.5581,0.5075,0.7311,0.4822,0.4381,0.6334,0.4183,0.3797,0.5512,0.6575,0.5982,0.8605,0.3505,0.3327,0.4362,0.5431,0.4939,0.7142,0.5623,0.5114,0.7393
GLM4,en-yue,0-shot,0.3426,0.7075,0.6925,0.7289,0.4475,0.4381,0.4610,0.3009,0.2945,0.3099,0.2107,0.2062,0.2170,0.7073,0.6923,0.7287,0.3205,0.3274,0.3163,0.4287,0.4196,0.4419,0.4754,0.4652,0.4900
GLM4,en-yue,5-shot,0.3807,0.7295,0.7169,0.7468,0.4813,0.4731,0.4925,0.3386,0.3330,0.3462,0.2443,0.2403,0.2497,0.7293,0.7166,0.7465,0.3289,0.3374,0.3227,0.4592,0.4512,0.4700,0.5044,0.4957,0.5164
GLM4,zh-yue,0-shot,0.5953,0.8284,0.8019,0.8668,0.6997,0.6782,0.7312,0.5982,0.5805,0.6244,0.5133,0.4988,0.5352,0.8282,0.8017,0.8666,0.4397,0.4461,0.4384,0.6882,0.6666,0.7202,0.7122,0.6897,0.7454
GLM4,zh-yue,5-shot,0.6487,0.8427,0.8090,0.8884,0.7341,0.7051,0.7736,0.6462,0.6210,0.6806,0.5696,0.5478,0.5996,0.8426,0.8089,0.8884,0.4462,0.4488,0.4481,0.7222,0.6930,0.7622,0.7428,0.7127,0.7839
yi-1.5-34b-chat-hf,en-yue,0-shot,0.2791,0.6519,0.6436,0.6665,0.3765,0.3721,0.3844,0.2352,0.2327,0.2399,0.1525,0.1510,0.1553,0.6515,0.6433,0.6661,0.2982,0.3074,0.2923,0.3607,0.3564,0.3684,0.4094,0.4044,0.4182
yi-1.5-34b-chat-hf,en-yue,5-shot,0.3506,0.7138,0.7066,0.7259,0.4560,0.4514,0.4637,0.3118,0.3089,0.3169,0.2182,0.2163,0.2216,0.7136,0.7064,0.7257,0.3224,0.3334,0.3144,0.4374,0.4330,0.4449,0.4837,0.4788,0.4919
yi-1.5-34b-chat-hf,zh-yue,0-shot,0.4727,0.7547,0.7309,0.7974,0.5916,0.5739,0.6236,0.4763,0.4625,0.5011,0.3892,0.3783,0.4089,0.7546,0.7308,0.7973,0.4037,0.4097,0.4062,0.5825,0.5648,0.6147,0.6118,0.5930,0.6459
yi-1.5-34b-chat-hf,zh-yue,5-shot,0.6699,0.8569,0.8311,0.8854,0.7482,0.7255,0.7732,0.6597,0.6395,0.6819,0.5836,0.5656,0.6034,0.8569,0.8310,0.8853,0.4545,0.4622,0.4475,0.7388,0.7157,0.7644,0.7590,0.7353,0.7851
gpt-4o,en-yue,0-shot,0.3634,0.7286,0.7105,0.7521,0.4704,0.4589,0.4854,0.3260,0.3181,0.3363,0.2305,0.2251,0.2376,0.7284,0.7103,0.7518,0.3288,0.3347,0.3251,0.4554,0.4442,0.4701,0.5012,0.4887,0.5174
gpt-4o,en-yue,5-shot,0.3985,0.7443,0.7315,0.7617,0.5057,0.4973,0.5172,0.3629,0.3570,0.3708,0.2658,0.2616,0.2715,0.7440,0.7312,0.7614,0.3354,0.3441,0.3289,0.4848,0.4766,0.4960,0.5283,0.5192,0.5405
gpt-4o,zh-yue,0-shot,0.7370,0.8970,0.8870,0.9085,0.7960,0.7878,0.8056,0.7121,0.7053,0.7200,0.6387,0.6330,0.6451,0.8969,0.8869,0.9084,0.4743,0.4923,0.4583,0.7861,0.7777,0.7957,0.8051,0.7964,0.8151
gpt-4o,zh-yue,5-shot,0.7906,0.9117,0.8983,0.9268,0.8299,0.8180,0.8434,0.7591,0.7484,0.7712,0.6965,0.6869,0.7074,0.9116,0.8982,0.9267,0.4813,0.4977,0.4666,0.8228,0.8106,0.8366,0.8380,0.8256,0.8521
mixtral-large-2-instruct-hf,en-yue,0-shot,0.3118,0.6918,0.6958,0.6919,0.4265,0.4295,0.4260,0.2802,0.2825,0.2795,0.1917,0.1935,0.1910,0.6915,0.6956,0.6916,0.3156,0.3318,0.3028,0.4117,0.4147,0.4112,0.4586,0.4618,0.4581
mixtral-large-2-instruct-hf,en-yue,5-shot,0.3897,0.7413,0.7443,0.7426,0.4984,0.5007,0.4990,0.3567,0.3585,0.3569,0.2608,0.2621,0.2609,0.7411,0.7441,0.7423,0.3346,0.3511,0.3215,0.4800,0.4821,0.4807,0.5238,0.5260,0.5245
mixtral-large-2-instruct-hf,zh-yue,0-shot,0.6483,0.8572,0.8494,0.8667,0.7323,0.7260,0.7400,0.6348,0.6297,0.6411,0.5531,0.5489,0.5582,0.8571,0.8492,0.8665,0.4554,0.4737,0.4392,0.7185,0.7122,0.7262,0.7422,0.7356,0.7503
mixtral-large-2-instruct-hf,zh-yue,5-shot,0.7270,0.8856,0.8786,0.8934,0.7838,0.7779,0.7905,0.7013,0.6962,0.7070,0.6286,0.6243,0.6335,0.8855,0.8786,0.8933,0.4690,0.4886,0.4514,0.7737,0.7678,0.7804,0.7929,0.7868,0.7998
phi-3-medium-128k-instruct-hf,en-yue,0-shot,0.1594,0.4981,0.4869,0.5283,0.2286,0.2238,0.2417,0.1097,0.1074,0.1159,0.0523,0.0513,0.0551,0.4978,0.4866,0.5279,0.2361,0.2407,0.2400,0.2174,0.2128,0.2301,0.2642,0.2585,0.2799
phi-3-medium-128k-instruct-hf,en-yue,5-shot,0.2466,0.6174,0.6248,0.6235,0.3387,0.3426,0.3421,0.2029,0.2050,0.2049,0.1264,0.1275,0.1277,0.6171,0.6245,0.6232,0.2848,0.3012,0.2762,0.3216,0.3255,0.3244,0.3711,0.3756,0.3745
phi-3-medium-128k-instruct-hf,zh-yue,0-shot,0.3679,0.6674,0.6416,0.7422,0.4827,0.4644,0.5369,0.3619,0.3485,0.4025,0.2743,0.2645,0.3051,0.6673,0.6415,0.7420,0.3627,0.3650,0.3842,0.4649,0.4475,0.5178,0.4992,0.4803,0.5560
phi-3-medium-128k-instruct-hf,zh-yue,5-shot,0.4858,0.7654,0.7509,0.7924,0.6030,0.5922,0.6226,0.4869,0.4786,0.5021,0.3951,0.3885,0.4068,0.7653,0.7508,0.7922,0.4117,0.4238,0.4063,0.5843,0.5740,0.6037,0.6152,0.6041,0.6360
llama-3_1-70b-instruct-hf,en-yue,0-shot,0.2971,0.6608,0.6642,0.6627,0.3933,0.3954,0.3946,0.2527,0.2542,0.2533,0.1657,0.1667,0.1661,0.6605,0.6638,0.6624,0.3017,0.3168,0.2903,0.3768,0.3787,0.3781,0.4243,0.4265,0.4257
llama-3_1-70b-instruct-hf,en-yue,5-shot,0.3778,0.7340,0.7323,0.7400,0.4834,0.4825,0.4872,0.3381,0.3376,0.3404,0.2419,0.2418,0.2434,0.7338,0.7321,0.7398,0.3314,0.3454,0.3203,0.4655,0.4646,0.4691,0.5105,0.5094,0.5145
llama-3_1-70b-instruct-hf,zh-yue,0-shot,0.6323,0.8505,0.8466,0.8593,0.7171,0.7143,0.7236,0.6130,0.6109,0.6178,0.5284,0.5268,0.5320,0.8505,0.8466,0.8593,0.4523,0.4728,0.4359,0.7049,0.7021,0.7114,0.7298,0.7268,0.7367
llama-3_1-70b-instruct-hf,zh-yue,5-shot,0.7617,0.8980,0.8888,0.9090,0.8057,0.7976,0.8154,0.7308,0.7236,0.7396,0.6644,0.6579,0.6723,0.8980,0.8888,0.9090,0.4749,0.4934,0.4585,0.7990,0.7908,0.8090,0.8159,0.8075,0.8261
internlm2_5-7b-chat-hf,en-yue,0-shot,0.1402,0.4467,0.4455,0.4510,0.1782,0.1781,0.1794,0.0790,0.0791,0.0795,0.0363,0.0365,0.0364,0.4463,0.4452,0.4507,0.2142,0.2232,0.2076,0.1710,0.1708,0.1723,0.2168,0.2165,0.2187
internlm2_5-7b-chat-hf,en-yue,5-shot,0.2961,0.6598,0.6534,0.6741,0.3931,0.3897,0.4010,0.2546,0.2527,0.2592,0.1708,0.1696,0.1736,0.6593,0.6529,0.6736,0.3005,0.3108,0.2944,0.3771,0.3736,0.3849,0.4244,0.4204,0.4333
