questionID,originalQuestionID,totalPossiblePoint,AnswerKey,isMultipleChoiceQuestion,includesDiagram,examName,schoolGrade,year,question,subject,category,Cantonese_question
Mercury_7220990,7220990,1,B,1,0,Mercury,8,2015,Which factor will most likely cause a person to develop a fever?  (A) a leg muscle relaxing after exercise (B) a bacterial population in the bloodstream (C) several viral particles on the skin (D) carbohydrates being digested in the stomach,,Train,邊一個因素最易致使人發燒？(A) 做運動後放鬆啲腳肌 (B) 血液中有細菌 (C) 皮膚上有好多病毒粒子 (D) 胃裏消化糖分
MCAS_2007_8_5189,5189,1,B,1,0,MCAS,8,2007,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship? (A) carbon dioxide (B) food (C) protection (D) water,,Train,青苔係生物體係綠藻同真菌喺一齊協生。呢種協生關係度綠藻會供應咩畀真菌？(A) 二氧化碳 (B) 食物 (C) 保護 (D) 水
Mercury_SC_401169,401169,1,D,1,0,Mercury,5,2015,"When a switch is used in an electrical circuit, the switch can (A) cause the charge to build. (B) increase and decrease the voltage. (C) cause the current to change direction. (D) stop and start the flow of current.",,Train,當電路中使用開關時，開關可以 (A) 令電荷累積。(B) 增加和減少電壓。(C) 令電流改變方向。(D) 停止和啟動電流的流動。
MCAS_2004_8_27,27,1,A,1,0,MCAS,8,2004,Which of the following is an example of an assistive device? (A) contact lens (B) motorcycle (C) raincoat (D) coffee pot,,Train,邊個係輔助設備嘅例子？(A) 隱形眼鏡 (B) 摩托車 (C) 雨衣 (D) 咖啡壺
NYSEDREGENTS_2006_8_10,10,1,3,1,0,NYSEDREGENTS,8,2006,"Rocks are classified as igneous, metamorphic, or sedimentary according to (1) their color (2) their shape (3) how they formed (4) the minerals they contain",,Train,岩石係分為火成、變質、定沉積嘅，分類係睇佢哋嘅顏色、形狀、形成方式同含有嘅礦物。
Mercury_7013388,7013388,1,C,1,0,Mercury,8,2015,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate (A) has a pleasant flavor. (B) is inexpensive to produce. (C) neutralizes digestive acid. (D) occurs naturally in the body.,,Train,啲可嚼鈣質碳酸鈣片係治療胃部不適嘅常見方法。最可能係用碳酸鈣作為藥物嘅原因係因為碳酸鈣 (A) 有好味。 (B) 生產成本低廉。 (C) 中和消化酸。 (D) 係人體內天然存在。
Mercury_7179953,7179953,1,A,1,0,Mercury,7,2015,Which two body systems are directly involved in movement? (A) muscular and skeletal (B) digestive and muscular (C) skeletal and respiratory (D) respiratory and digestive,,Train,(A) 肌肉和骨骼 (B) 消化和肌肉 (C) 骨骼和呼吸 (D) 呼吸和消化
Mercury_7205118,7205118,1,C,1,0,Mercury,8,2015,Which change in the state of water particles causes the particles to become arranged in a fixed position? (A) boiling (B) melting (C) freezing (D) evaporating,,Train,邊度會令水粒子變得固定係位？(A) 沸水 (B) 融化 (C) 凍結 (D) 蒸發
MCAS_2016_8_13,13,1,B,1,0,MCAS,8,2016,Earth's core is primarily composed of which of the following materials? (A) basalt (B) iron (C) magma (D) quartz,,Train,地球嘅核心主要係由以下嘅物質組成？(A) 玄武岩 (B) 鐵 (C) 岩漿 (D) 石英
Mercury_7283255,7283255,1,C,1,0,Mercury,9,2015,Which of the following events during meiosis contributes most to the variation within a species? (A) pairing of chromosomes (B) creation of haploid gametes (C) segregation of alleles (D) separation of chromatids,,Train,邊個嘅事件係參與最多喺種內嘅變化嘅雜交過程？（A）染色體配對（B）形成單倍體配子（C）等位基因分離（D）染色分開
