Model,Translation Type,Shot Type,BLEU,rouge-1-f,rouge-1-p,rouge-1-r,rouge-2-f,rouge-2-p,rouge-2-r,rouge-3-f,rouge-3-p,rouge-3-r,rouge-4-f,rouge-4-p,rouge-4-r,rouge-l-f,rouge-l-p,rouge-l-r,rouge-w-1.2-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-s4-f,rouge-s4-p,rouge-s4-r,rouge-su4-f,rouge-su4-p,rouge-su4-r
qwen2.5-7b-hf,en-yue,0-shot,0.0507,0.0792,0.0605,0.2972,0.0364,0.0271,0.1375,0.0190,0.0141,0.0720,0.0102,0.0075,0.0383,0.0791,0.0604,0.2965,0.0384,0.0306,0.1346,0.0344,0.0258,0.1289,0.0418,0.0316,0.1571
qwen2.5-7b-hf,en-yue,5-shot,0.2158,0.3992,0.3684,0.6971,0.2402,0.2222,0.4124,0.1571,0.1456,0.2677,0.1060,0.0983,0.1793,0.3988,0.3681,0.6962,0.1836,0.1762,0.3036,0.2298,0.2124,0.3993,0.2581,0.2385,0.4493
qwen2.5-7b-hf,zh-yue,0-shot,0.0882,0.1166,0.1008,0.4468,0.0769,0.0575,0.2908,0.0564,0.0418,0.2120,0.0426,0.0317,0.1596,0.1165,0.1008,0.4464,0.0655,0.0635,0.2354,0.0735,0.0551,0.2821,0.0805,0.0625,0.3100
qwen2.5-7b-hf,zh-yue,5-shot,0.4926,0.6740,0.6420,0.8541,0.5658,0.5391,0.7147,0.4838,0.4610,0.6116,0.4151,0.3954,0.5259,0.6738,0.6419,0.8538,0.3591,0.3580,0.4333,0.5535,0.5273,0.7016,0.5739,0.5466,0.7276
internlm2-7b-turbomind,en-yue,0-shot,0.1072,0.3422,0.3379,0.3561,0.1354,0.1333,0.1415,0.0605,0.0593,0.0635,0.0285,0.0279,0.0300,0.3420,0.3377,0.3559,0.1658,0.1708,0.1658,0.1294,0.1276,0.1347,0.1648,0.1626,0.1716
internlm2-7b-turbomind,en-yue,5-shot,0.2481,0.5776,0.5745,0.6156,0.3238,0.3223,0.3439,0.1996,0.1987,0.2118,0.1266,0.1260,0.1342,0.5774,0.5743,0.6154,0.2655,0.2758,0.2714,0.3064,0.3050,0.3259,0.3518,0.3501,0.3744
internlm2-7b-turbomind,zh-yue,0-shot,0.1842,0.4936,0.4949,0.5191,0.2875,0.2823,0.3026,0.1715,0.1674,0.1809,0.1060,0.1035,0.1122,0.4933,0.4947,0.5189,0.2737,0.2921,0.2746,0.2798,0.2746,0.2951,0.3158,0.3118,0.3329
internlm2-7b-turbomind,zh-yue,5-shot,0.3630,0.6648,0.6330,0.7421,0.4933,0.4698,0.5509,0.3760,0.3579,0.4208,0.2898,0.2760,0.3245,0.6645,0.6328,0.7418,0.3573,0.3563,0.3799,0.4782,0.4550,0.5346,0.5098,0.4850,0.5700
qwen1.5-110b-hf,en-yue,0-shot,0.0109,0.0277,0.0319,0.0268,0.0146,0.0153,0.0146,0.0092,0.0097,0.0092,0.0059,0.0062,0.0058,0.0275,0.0315,0.0267,0.0135,0.0167,0.0126,0.0135,0.0141,0.0134,0.0159,0.0171,0.0156
qwen1.5-110b-hf,en-yue,5-shot,0.4005,0.7443,0.7459,0.7470,0.5028,0.5040,0.5044,0.3599,0.3610,0.3608,0.2633,0.2643,0.2637,0.7439,0.7455,0.7466,0.3353,0.3511,0.3228,0.4818,0.4829,0.4834,0.5258,0.5269,0.5276
