"Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested?","theory, hypothesis, law","hypothesis, law, theory","theory, law, hypothesis","hypothesis, theory, law",D
邊大啲啦，佢個角度係三百六十度。,用嚟示範溫度變化嘅。,用嚟示唔斷改變嘅例子。,用嚟顯示唔係持續嘅改變,用嚟描形一部分數據同全部數據之間嘅關係。,D
因为地球在自转轴上的倾斜而导致的是什么？,潮汐嘅運動,盛行嘅貿易風,氣候嘅季節變化,日夜光暗變幻,C
邊一個人體系可以攻擊入侵身體嘅病毒同細菌？,循環循氣係指我哋身體內嘅血液同氣體係度流動，佢哋經過心臟同血管系統，攞走氧同養分去供應身體各部位，同時攞走廢物去排出體外。循環係身體內好緊要嘅過程，可以幫助身體保持健康同正常運作。,內分泌。,食物經過口腔、食道、胃、小腸、大腸等器官的消化過程，逐步被分解和吸收，最終排出體外。,唔係所有人都會對病毒起咗抗體，因為每個人嘅免疫系統都唔同，有啲人可能會感染咗病毒，但身體自己會製造抗體去對抗佢，所以就唔會再次感染咗同一種病毒。,D
邊部機器可以將動能轉換為電能？,我要買一個新嘅計算機，最好係個 scientific calculator，因為我學緊大學數學同埋物理。希望可以揀到隻方便用嘅，而且方便攞去學校同用。唔好太貴，最重要係好靈敏同耐用。如果有啲特別嘅功能嘅話，都係一個好睇重嘅因素。多謝！,發電機,電動機,電磁鐵,B
全球氣溫升高嘅現象叫乜嘢呢？,暖室效應,全球暖化。,臭氧層破壞,太陽能暖氣,B
邊一個係正確嘅關於數據繪圖嘅敍述？,喺表格度留低數據好過畫圖。,條形圖係最適合科學數據嘅圖表。,對於任何一組數據，只有一個正確嘅圖表或展示方式。,數據可以用好多種唔同嘅圖表顯示，去顯示數據嘅唔同特性。,D
邊一個係導熱嘅例子？,開咗嗰個暖爐,火爐度煲緊水,陽光透過窗戶照進來,湯碗入面熱緊個鐵匙。,D
邊一種不能再生嘅天然資源可以用嚟製造電能？,煤係一種黑色嘅烏黑石材，主要用喺發電廠同埋工業生產過程中發熱同發電。係一種非常重要嘅能源資源，可以係地底深處開採出嚟。coal可以係固體、粉狀、或者液體狀態存在，而且佢嘅熱值幾高，所以係好常用嚟生產能源。,風好大，吹得我都快被吹走啦！真係大風大浪，睇吓，啲樹都被吹得搖擺呀！真係冇得講，風箏都要放得嘹啦！,水族箱係一個好重要嘅設備，可以幫助魚隻生活。要記得定期清洗水族箱，同時檢查水質係咪合適。如果水質唔好，可能會影響魚隻嘅健康。最好係使用適合嘅濾水系統同添加適量嘅水處理劑，同時定期換水。记住要保持水族箱嘅清潔同良好環境，咁樣可以令魚隻健康同舒適。,熱力（thermal）係指一物體內嘅能量同分子運動嘅程度。當物體溫度升高嘅時候，粒子嘅運動就會變得更加劇烈，而能量亦會增加。所以可以話，熱力同物體嘅溫度係息息相關嘅。,A
科學發現有邊啲係真？,所有科學發現都係緊靠觀察，唔係實驗。,有時候科學發現都係無意發現，就好似發現盤尼西林咁。,如果科學家冇辦法提供佢哋發現嘅事情發生嘅準確時間同地點，就會被人唔理會。,所有科學發現都係經政府機構監管㗎，例如食品藥物管理局。,B
