Model,Type,Precision,Recall,F1
ChatGPT_en-yue_0shot,en-yue,0.844522,0.843904,0.844120
ChatGPT_en-yue_5shot,en-yue,0.848971,0.852824,0.850833
ChatGPT_zh-yue_0shot,zh-yue,0.920817,0.920973,0.920862
ChatGPT_zh-yue_5shot,zh-yue,0.905768,0.924180,0.914867
gemma2-27b-it-hf_en-yue_0shot,en-yue,0.598243,0.723681,0.654459
gemma2-27b-it-hf_en-yue_5shot,en-yue,0.566870,0.658538,0.608854
gemma2-27b-it-hf_zh-yue_0shot,zh-yue,0.556750,0.705241,0.621048
gemma2-27b-it-hf_zh-yue_5shot,zh-yue,0.534865,0.663914,0.591394
GLM4_en-yue_0shot,en-yue,0.840506,0.847134,0.843706
GLM4_en-yue_5shot,en-yue,0.845711,0.854360,0.849938
GLM4_zh-yue_0shot,zh-yue,0.890014,0.903920,0.896699
GLM4_zh-yue_5shot,zh-yue,0.887473,0.909947,0.898324
gpt-4-0125_en-yue_0shot,en-yue,0.850486,0.853768,0.852067
gpt-4-0125_en-yue_5shot,en-yue,0.855618,0.858543,0.857015
gpt-4-0125_zh-yue_0shot,zh-yue,0.922378,0.928178,0.925237
gpt-4-0125_zh-yue_5shot,zh-yue,0.936893,0.941526,0.939178
gpt-4o_en-yue_0shot,en-yue,0.848252,0.854247,0.851180
gpt-4o_en-yue_5shot,en-yue,0.850683,0.858355,0.854436
gpt-4o_zh-yue_0shot,zh-yue,0.931749,0.935172,0.933427
gpt-4o_zh-yue_5shot,zh-yue,0.938680,0.945597,0.942078
internlm2_5-7b-chat-hf_en-yue_0shot,en-yue,0.775606,0.769840,0.772620
internlm2_5-7b-chat-hf_en-yue_5shot,en-yue,0.826723,0.829925,0.828013
internlm2_5-7b-chat-hf_zh-yue_0shot,zh-yue,0.801341,0.822819,0.811299
internlm2_5-7b-chat-hf_zh-yue_5shot,zh-yue,0.858922,0.870504,0.864325
internlm2_5-7b-hf_en-yue_0shot,en-yue,0.716941,0.726653,0.720873
internlm2_5-7b-hf_en-yue_5shot,en-yue,0.227578,0.225206,0.226250
internlm2_5-7b-hf_zh-yue_0shot,zh-yue,0.806975,0.817713,0.811801
internlm2_5-7b-hf_zh-yue_5shot,zh-yue,0.787653,0.804389,0.795728
llama-3_1-70b-instruct-hf_en-yue_0shot,en-yue,0.832123,0.830019,0.830911
llama-3_1-70b-instruct-hf_en-yue_5shot,en-yue,0.857111,0.855374,0.856178
llama-3_1-70b-instruct-hf_zh-yue_0shot,zh-yue,0.917704,0.919737,0.918614
llama-3_1-70b-instruct-hf_zh-yue_5shot,zh-yue,0.941716,0.947441,0.944489
llama-3_1-8b-instruct-hf_en-yue_0shot,en-yue,0.806781,0.805622,0.805795
llama-3_1-8b-instruct-hf_en-yue_5shot,en-yue,0.830919,0.833797,0.831764
llama-3_1-8b-instruct-hf_zh-yue_0shot,zh-yue,0.832244,0.864340,0.846649
llama-3_1-8b-instruct-hf_zh-yue_5shot,zh-yue,0.895944,0.912573,0.903916
llama-3-70b-instruct-hf_en-yue_0shot,en-yue,0.793617,0.819603,0.806074
llama-3-70b-instruct-hf_en-yue_5shot,en-yue,0.816779,0.837874,0.827100
llama-3-70b-instruct-hf_zh-yue_0shot,zh-yue,0.675825,0.816468,0.739127
llama-3-70b-instruct-hf_zh-yue_5shot,zh-yue,0.816433,0.891178,0.851716
llama-3-8b-instruct-hf_en-yue_0shot,en-yue,0.715114,0.767183,0.739908
llama-3-8b-instruct-hf_en-yue_5shot,en-yue,0.810327,0.821491,0.815529
llama-3-8b-instruct-hf_zh-yue_0shot,zh-yue,0.656042,0.801464,0.720675
llama-3-8b-instruct-hf_zh-yue_5shot,zh-yue,0.762789,0.847779,0.802119
mixtral-8x22b-instruct-v0.1-hf_en-yue_0shot,en-yue,0.767023,0.775211,0.770407
mixtral-8x22b-instruct-v0.1-hf_en-yue_5shot,en-yue,0.832883,0.832823,0.832781
mixtral-8x22b-instruct-v0.1-hf_zh-yue_0shot,zh-yue,0.698655,0.812204,0.748085
mixtral-8x22b-instruct-v0.1-hf_zh-yue_5shot,zh-yue,0.822519,0.870610,0.844664
mixtral-large-2-instruct-hf_en-yue_0shot,en-yue,0.841405,0.836334,0.838795
mixtral-large-2-instruct-hf_en-yue_5shot,en-yue,0.860741,0.857736,0.859165
mixtral-large-2-instruct-hf_zh-yue_0shot,zh-yue,0.919090,0.920760,0.919891
mixtral-large-2-instruct-hf_zh-yue_5shot,zh-yue,0.933016,0.935392,0.934182
phi-3-medium-128k-instruct-hf_en-yue_0shot,en-yue,0.767046,0.764673,0.765663
phi-3-medium-128k-instruct-hf_en-yue_5shot,en-yue,0.814258,0.809578,0.811630
phi-3-medium-128k-instruct-hf_zh-yue_0shot,zh-yue,0.831479,0.842672,0.836462
phi-3-medium-128k-instruct-hf_zh-yue_5shot,zh-yue,0.881622,0.888444,0.884859
qwen1.5-110b-hf_en-yue_0shot,en-yue,0.167554,0.149827,0.157849
qwen1.5-110b-hf_en-yue_5shot,en-yue,0.858244,0.856281,0.857183
qwen1.5-110b-hf_zh-yue_0shot,zh-yue,0.518585,0.522993,0.519392
qwen1.5-110b-hf_zh-yue_5shot,zh-yue,0.938773,0.948538,0.943415
qwen2-72b-hf_en-yue_0shot,en-yue,0.688462,0.784904,0.732455
qwen2-72b-hf_en-yue_5shot,en-yue,0.650450,0.781293,0.709509
qwen2-72b-hf_zh-yue_0shot,zh-yue,0.624071,0.773293,0.688508
qwen2-72b-hf_zh-yue_5shot,zh-yue,0.547962,0.779613,0.642324
qwen2-7b-hf_en-yue_0shot,en-yue,0.752515,0.782289,0.766499
qwen2-7b-hf_en-yue_5shot,en-yue,0.826650,0.833042,0.829371
qwen2-7b-hf_zh-yue_0shot,zh-yue,0.720955,0.795231,0.754332
qwen2-7b-hf_zh-yue_5shot,zh-yue,0.816758,0.874946,0.843145
SenseChat_en-yue_0shot,en-yue,0.841181,0.839173,0.840099
SenseChat_en-yue_5shot,en-yue,0.861116,0.858917,0.859950
SenseChat_zh-yue_0shot,zh-yue,0.940404,0.939611,0.939964
SenseChat_zh-yue_5shot,zh-yue,0.951013,0.950037,0.950502
yi-1.5-34b-chat-hf_en-yue_0shot,en-yue,0.823766,0.823907,0.823732
yi-1.5-34b-chat-hf_en-yue_5shot,en-yue,0.840831,0.843973,0.842278
yi-1.5-34b-chat-hf_zh-yue_0shot,zh-yue,0.893851,0.905206,0.899287
yi-1.5-34b-chat-hf_zh-yue_5shot,zh-yue,0.901706,0.920511,0.910983
