Sir Isaac Newton determined that white light is made up of all the colors of the rainbow. What did he use to discover this phenomenon?,a prism,a telescope,a microscope,a magnifying glass,A
用顯微鏡睇，你會發現一個物件有細胞壁、葉綠體同埋細胞核。觀察緊乜嘢呢？,植物細胞,一個動物細胞,一個男性生物,個女嘅生物,A
海洋科學家點樣最好嘅方法去了解鯊魚嘅飲食習慣？,記一條鯊魚嘅標籤，同埋監察佢嘅飲食習慣一日。,標籤一條鯊魚，然後喺一年時間內監測佢嘅飲食習慣。,標記幾條鯊魚，畀佢哋食嘢嘅習慣影住一日。,標記幾條鯊魚，然後喺一年內監視佢哋嘅食性。,D
邊個點樣最有幫助嘅俾科學家去發現地球係點樣隨住時間變過？,搵鷹嘅巢。,追蹤狼嘅腳印,分析葵花嘅授粉情況,喺樹木茂盛嘅地方發現咗一個海貝嘅化石。,D
要求學生使用以下物質製作土壤：水、矿石、腐殖质、晶体、风化岩和变质岩。學生應該選擇哪種組合的物質？,腐植土，水晶同礦石,水，風化岩和腐植質,水，變質岩，同晶体。,變質岩、礦石同風化岩,B
細胞嚟嘅能量係點形成嘅？,食物,水係生命嘅源頭，人類生活唔可以缺乏水，所以我哋要節約用水，愛護水資源，唔好亂丟垃圾，保持環境清潔。,葉綠素,二氧化碳,A
邊類型嘅科學家會研究簡單機械同能量之間嘅關係呀？,唔好意思，我唔識講粵語。,生物學家係研究生物同埋生命嘅科學嘅人。佢哋主要研究生物體嘅結構、功能、演化同埋生態學等方面。生物學家可以喺實驗室裏面進行研究，亦都可以喺自然環境中進行觀察同研究。生物學家嘅研究對理解生物體嘅特性同埋生物系統嘅運作有很大嘅貢獻。,請幫我將下面呢段嘢翻譯成正宗嘅口語粵語（對專業嘅詞彙同句子要專業嘅翻譯），格式唔變，全部一定要有，唔好畀漏咗，直接輸出結果，唔好有多餘嘅話同符號：物理學家physicist,地質學家係研究地球體內物質、結構同進化嘅學科，佢地主要任務係研究地球嘅結構同層序，喺地質時，主要睇石層溝壑、崩塌等嘅構造特點，同埋進行地層地質調查、地質儀器嘅使用以及地質樣品嘅收集同研究。地質學家通常需要有良好嘅地質專業知識同埋研究技巧，係勘探礦產、水源等方面有重要作用。,C
啲咩係蘋果嘅物理特性？,點樣嘅顏色？,點都幾靚啊。,幾錢啊？,當佢俾走既時候,A
如果Lisa想要用豆科植物进行实验，下面哪一个是最好的假设的例子？,豆莊嘅有好多種。,肥料對豆荚植物好。,所有豆类植物都有關係。,肥料會令豆荚植物長高。,D
Alan用包菜汁来测各种家庭溶液的相对酸碱度。以下哪个步骤传达了他调查的结果？,進行多次實驗,寫低個過程.,識別要測試嘅材料。,記錄觀察同數據係日記度,D
邊個細胞組件同功能搭配係啱嘅？,細胞嘅活動係由細胞核控制。,葉綠體-植物細胞外層界限,細胞壁 - 控制物質進出細胞。,細胞膜-喺度進行光合作用。,A
綠色植物喺二氧化碳同氧氣循環度個重要部分？,佢哋加咗氧氣喺土壤入面。,佢哋會釋放氧氣落去咗空氣中。,佢哋喺地裏固定二氧化碳。,佢哋會將二氧化碳存喺根部。,B
Jennifer 攞石頭行山嘅時候收埋好多石頭。佢而家想分類佢啲石頭，邊啲係層狀岩石？,黑色同灰色嘅結晶岩,光滑嘅石頭。,石頭裏面有啲殼嘅碎片,岩石度有好細個晶體連鎖埋入其中。,C
阿波羅14號登月期間，太空人喺月球上打高爾夫球。以下邊個係地球上比較少嘅？,高爾夫球嘅質量,高爾夫球嘅重量,高爾夫球的質量同尺寸,高爾夫球既重量同埋尺寸,B
邊張表係由細到大排列？,生物圈，生物，生态系统，种群,社區、有機體、生態系統、生物圈,生物體、族群、社區、生態系統。,人口、生態系統、社區、生物圈,C
Mara搭咗六盆生菜種子。佢將三盆放喺陽光充足嘅地方同埋三盆放喺陰涼嘅地方。佢每盆都係咁樣澆水同度量生菜嘅生長。喺Mara分析數據之後，呢啲數據會幫到佢點樣嘅結論？,幾時種生菜？,喺邊度種生菜啊？,生菜要比较多水？,點樣先可以種幾多粒萵苣先可以種？,B
